Sample ID,treatment,Day ,DayL,Gene,SDM Gene,SDM rpL32
299,Control,1,A,Kr-h1,3.91E-05,1.16E-03
300,Control,2,B,Kr-h1,1.05E-05,1.48E-03
301,Control,3,C,Kr-h1,2.82E-06,2.21E-03
302,Control,4,D,Kr-h1,3.03E-06,2.06E-03
303,Control,4,D,Kr-h1,7.78E-06,2.38E-03
304,Mimic,4,D,Kr-h1,1.50E-04,1.97E-03
305,Mimic,4,D,Kr-h1,1.03E-04,1.15E-03
306,Control,6,F,Kr-h1,3.94E-06,5.96E-04
PyrT11,Control,5,E,Kr-h1,1.99E-05,4.21E-03
PyrT19,Control,5,E,Kr-h1,8.93E-06,2.01E-03
PyrT20,Control,5,E,Kr-h1,1.64E-05,5.27E-03
PyrT21,Control,5,E,Kr-h1,1.87E-05,1.77E-03
PyrT30,Control,5,E,Kr-h1,1.66E-05,3.63E-03
PyrT37,Control,5,E,Kr-h1,1.32E-05,5.32E-03
PyrT54,Mimic,5,E,Kr-h1,2.61E-04,7.86E-04
PyrT55,Mimic,5,E,Kr-h1,9.79E-04,2.35E-03
PyrT56,Mimic,5,E,Kr-h1,4.73E-04,1.28E-03
PyrT57,Mimic,5,E,Kr-h1,5.55E-04,1.69E-03
PyrT61,Mimic,5,E,Kr-h1,5.37E-04,2.08E-03
PyrT62,Mimic,5,E,Kr-h1,9.34E-04,5.07E-03
PyrT75,Control,4,D,Kr-h1,1.22E-05,2.15E-03
PyrT75b,Control,4,D,Kr-h1,2.22E-05,3.75E-03
PyrT76,Mimic,6,F,Kr-h1,3.16E-04,1.22E-03
PyrT77,Mimic,6,F,Kr-h1,6.10E-04,2.84E-03
PyrT78,Mimic,6,F,Kr-h1,6.78E-04,3.32E-03
PyrT79,Mimic,4,D,Kr-h1,5.19E-04,2.81E-03
PyrT80,Mimic,4,D,Kr-h1,5.08E-04,2.72E-03
PyrT81,Control,6,F,Kr-h1,1.89E-05,9.78E-04
PyrT82,Control,6,F,Kr-h1,1.57E-05,1.33E-03
PyrT84,Control,2,B,Kr-h1,2.32E-05,3.38E-03
PyrT85,Control,2,B,Kr-h1,1.60E-05,5.22E-03
PyrT86,Mimic,2,B,Kr-h1,4.47E-04,3.89E-03
PyrT87,Mimic,2,B,Kr-h1,3.84E-04,2.87E-03
PyrT88,Mimic,2,B,Kr-h1,4.54E-04,3.58E-03
PyrT89,Control,3,C,Kr-h1,7.97E-06,4.08E-03
PyrT90,Control,3,C,Kr-h1,9.76E-06,4.81E-03
PyrT91,Mimic,3,C,Kr-h1,1.78E-04,1.58E-03
PyrT92,Mimic,3,C,Kr-h1,3.68E-04,3.50E-03
PyrT93,Mimic,3,C,Kr-h1,2.21E-04,2.06E-03
PyrT94,Control,1,A,Kr-h1,1.73E-04,5.95E-03
PyrT95,Control,1,A,Kr-h1,3.57E-05,7.06E-03
PyrT96,Mimic,1,A,Kr-h1,4.66E-04,6.35E-03
PyrT97,Mimic,1,A,Kr-h1,5.55E-04,6.04E-03
PyrT98,Mimic,1,A,Kr-h1,4.23E-04,4.22E-03
299,Control,1,A,PkE93-1,1.83E-04,1.16E-03
300,Control,2,B,PkE93-1,3.69E-04,1.48E-03
301,Control,3,C,PkE93-1,1.11E-03,2.21E-03
302,Control,4,D,PkE93-1,9.68E-04,2.06E-03
303,Control,4,D,PkE93-1,7.77E-04,2.38E-03
304,Mimic,4,D,PkE93-1,1.69E-04,1.97E-03
305,Mimic,4,D,PkE93-1,1.40E-04,1.15E-03
306,Control,6,F,PkE93-1,9.87E-04,5.96E-04
PyrT11,Control,5,E,PkE93-1,1.68E-03,4.21E-03
PyrT19,Control,5,E,PkE93-1,1.42E-03,2.01E-03
PyrT20,Control,5,E,PkE93-1,3.32E-03,5.27E-03
PyrT21,Control,5,E,PkE93-1,2.30E-03,1.77E-03
PyrT30,Control,5,E,PkE93-1,2.72E-03,3.63E-03
PyrT37,Control,5,E,PkE93-1,3.39E-03,5.32E-03
PyrT54,Mimic,5,E,PkE93-1,5.53E-04,7.86E-04
PyrT55,Mimic,5,E,PkE93-1,6.07E-04,2.35E-03
PyrT56,Mimic,5,E,PkE93-1,3.71E-04,1.28E-03
PyrT57,Mimic,5,E,PkE93-1,6.03E-04,1.69E-03
PyrT61,Mimic,5,E,PkE93-1,5.46E-04,2.08E-03
PyrT62,Mimic,5,E,PkE93-1,6.07E-04,5.07E-03
PyrT75,Control,4,D,PkE93-1,2.46E-03,2.15E-03
PyrT75b,Control,4,D,PkE93-1,3.11E-03,3.75E-03
PyrT76,Mimic,6,F,PkE93-1,3.12E-04,1.22E-03
PyrT77,Mimic,6,F,PkE93-1,5.24E-04,2.84E-03
PyrT78,Mimic,6,F,PkE93-1,7.42E-04,3.32E-03
PyrT79,Mimic,4,D,PkE93-1,8.42E-04,2.81E-03
PyrT80,Mimic,4,D,PkE93-1,7.82E-04,2.72E-03
PyrT81,Control,6,F,PkE93-1,8.82E-04,9.78E-04
PyrT82,Control,6,F,PkE93-1,1.57E-03,1.33E-03
PyrT84,Control,2,B,PkE93-1,1.30E-03,3.38E-03
PyrT85,Control,2,B,PkE93-1,2.40E-03,5.22E-03
PyrT86,Mimic,2,B,PkE93-1,5.39E-04,3.89E-03
PyrT87,Mimic,2,B,PkE93-1,4.41E-04,2.87E-03
PyrT88,Mimic,2,B,PkE93-1,5.46E-04,3.58E-03
PyrT89,Control,3,C,PkE93-1,2.65E-03,4.08E-03
PyrT90,Control,3,C,PkE93-1,2.68E-03,4.81E-03
PyrT91,Mimic,3,C,PkE93-1,3.16E-04,1.58E-03
PyrT92,Mimic,3,C,PkE93-1,8.94E-04,3.50E-03
PyrT93,Mimic,3,C,PkE93-1,2.45E-04,2.06E-03
PyrT94,Control,1,A,PkE93-1,4.59E-04,5.95E-03
PyrT95,Control,1,A,PkE93-1,1.13E-03,7.06E-03
PyrT96,Mimic,1,A,PkE93-1,4.07E-04,6.35E-03
PyrT97,Mimic,1,A,PkE93-1,3.66E-04,6.04E-03
PyrT98,Mimic,1,A,PkE93-1,2.30E-04,4.22E-03
299,Control,1,A,PkE93-2,4.46E-06,1.16E-03
300,Control,2,B,PkE93-2,4.79E-06,1.48E-03
301,Control,3,C,PkE93-2,1.95E-05,2.21E-03
302,Control,4,D,PkE93-2,1.58E-05,2.06E-03
303,Control,4,D,PkE93-2,2.16E-05,2.38E-03
304,Mimic,4,D,PkE93-2,3.26E-06,1.97E-03
305,Mimic,4,D,PkE93-2,1.57E-06,1.15E-03
306,Control,6,F,PkE93-2,8.44E-06,5.96E-04
PyrT11,Control,5,E,PkE93-2,3.32E-05,4.21E-03
PyrT19,Control,5,E,PkE93-2,3.15E-05,2.01E-03
PyrT20,Control,5,E,PkE93-2,9.28E-05,5.27E-03
PyrT21,Control,5,E,PkE93-2,3.91E-05,1.77E-03
PyrT30,Control,5,E,PkE93-2,5.40E-05,3.63E-03
PyrT37,Control,5,E,PkE93-2,9.95E-05,5.32E-03
PyrT54,Mimic,5,E,PkE93-2,4.87E-06,7.86E-04
PyrT55,Mimic,5,E,PkE93-2,5.85E-06,2.35E-03
PyrT56,Mimic,5,E,PkE93-2,3.82E-06,1.28E-03
PyrT57,Mimic,5,E,PkE93-2,6.84E-06,1.69E-03
PyrT61,Mimic,5,E,PkE93-2,1.08E-05,2.08E-03
PyrT62,Mimic,5,E,PkE93-2,1.20E-05,5.07E-03
PyrT75,Control,4,D,PkE93-2,5.00E-05,2.15E-03
PyrT75b,Control,4,D,PkE93-2,6.84E-05,3.75E-03
PyrT76,Mimic,6,F,PkE93-2,3.88E-06,1.22E-03
PyrT77,Mimic,6,F,PkE93-2,6.78E-06,2.84E-03
PyrT78,Mimic,6,F,PkE93-2,1.05E-05,3.32E-03
PyrT79,Mimic,4,D,PkE93-2,1.25E-05,2.81E-03
PyrT80,Mimic,4,D,PkE93-2,7.60E-06,2.72E-03
PyrT81,Control,6,F,PkE93-2,1.34E-05,9.78E-04
PyrT82,Control,6,F,PkE93-2,3.53E-05,1.33E-03
PyrT84,Control,2,B,PkE93-2,4.95E-05,3.38E-03
PyrT85,Control,2,B,PkE93-2,9.95E-05,5.22E-03
PyrT86,Mimic,2,B,PkE93-2,1.20E-05,3.89E-03
PyrT87,Mimic,2,B,PkE93-2,9.13E-06,2.87E-03
PyrT88,Mimic,2,B,PkE93-2,1.17E-05,3.58E-03
PyrT89,Control,3,C,PkE93-2,8.65E-05,4.08E-03
PyrT90,Control,3,C,PkE93-2,7.59E-05,4.81E-03
PyrT91,Mimic,3,C,PkE93-2,3.02E-06,1.58E-03
PyrT92,Mimic,3,C,PkE93-2,1.18E-05,3.50E-03
PyrT93,Mimic,3,C,PkE93-2,3.32E-06,2.06E-03
PyrT94,Control,1,A,PkE93-2,1.40E-05,5.95E-03
PyrT95,Control,1,A,PkE93-2,3.09E-05,7.06E-03
PyrT96,Mimic,1,A,PkE93-2,8.81E-06,6.35E-03
PyrT97,Mimic,1,A,PkE93-2,9.53E-06,6.04E-03
PyrT98,Mimic,1,A,PkE93-2,5.55E-06,4.22E-03
299,Control,1,A,PkE93-3,2.09E-06,1.16E-03
300,Control,2,B,PkE93-3,1.44E-06,1.48E-03
301,Control,3,C,PkE93-3,1.65E-06,2.21E-03
302,Control,4,D,PkE93-3,9.72E-07,2.06E-03
303,Control,4,D,PkE93-3,8.05E-07,2.38E-03
304,Mimic,4,D,PkE93-3,1.08E-06,1.97E-03
305,Mimic,4,D,PkE93-3,5.70E-07,1.15E-03
306,Control,6,F,PkE93-3,5.47E-07,5.96E-04
PyrT11,Control,5,E,PkE93-3,3.07E-06,4.21E-03
PyrT19,Control,5,E,PkE93-3,3.02E-06,2.01E-03
PyrT20,Control,5,E,PkE93-3,4.10E-06,5.27E-03
PyrT21,Control,5,E,PkE93-3,2.38E-06,1.77E-03
PyrT30,Control,5,E,PkE93-3,1.72E-06,3.63E-03
PyrT37,Control,5,E,PkE93-3,5.89E-06,5.32E-03
PyrT54,Mimic,5,E,PkE93-3,1.63E-06,7.86E-04
PyrT55,Mimic,5,E,PkE93-3,4.79E-06,2.35E-03
PyrT56,Mimic,5,E,PkE93-3,2.50E-06,1.28E-03
PyrT57,Mimic,5,E,PkE93-3,1.73E-06,1.69E-03
PyrT61,Mimic,5,E,PkE93-3,4.34E-06,2.08E-03
PyrT62,Mimic,5,E,PkE93-3,5.38E-06,5.07E-03
PyrT75,Control,4,D,PkE93-3,3.00E-06,2.15E-03
PyrT75b,Control,4,D,PkE93-3,5.79E-06,3.75E-03
PyrT76,Mimic,6,F,PkE93-3,1.74E-06,1.22E-03
PyrT77,Mimic,6,F,PkE93-3,2.83E-06,2.84E-03
PyrT78,Mimic,6,F,PkE93-3,4.60E-06,3.32E-03
PyrT79,Mimic,4,D,PkE93-3,4.17E-06,2.81E-03
PyrT80,Mimic,4,D,PkE93-3,3.39E-06,2.72E-03
PyrT81,Control,6,F,PkE93-3,9.81E-07,9.78E-04
PyrT82,Control,6,F,PkE93-3,2.21E-06,1.33E-03
PyrT84,Control,2,B,PkE93-3,5.98E-06,3.38E-03
PyrT85,Control,2,B,PkE93-3,9.02E-06,5.22E-03
PyrT86,Mimic,2,B,PkE93-3,8.24E-06,3.89E-03
PyrT87,Mimic,2,B,PkE93-3,4.24E-06,2.87E-03
PyrT88,Mimic,2,B,PkE93-3,5.47E-06,3.58E-03
PyrT89,Control,3,C,PkE93-3,4.41E-06,4.08E-03
PyrT90,Control,3,C,PkE93-3,5.93E-06,4.81E-03
PyrT91,Mimic,3,C,PkE93-3,2.74E-06,1.58E-03
PyrT92,Mimic,3,C,PkE93-3,5.25E-06,3.50E-03
PyrT93,Mimic,3,C,PkE93-3,2.59E-06,2.06E-03
PyrT94,Control,1,A,PkE93-3,5.03E-06,5.95E-03
PyrT95,Control,1,A,PkE93-3,1.35E-05,7.06E-03
PyrT96,Mimic,1,A,PkE93-3,7.98E-06,6.35E-03
PyrT97,Mimic,1,A,PkE93-3,1.06E-05,6.04E-03
PyrT98,Mimic,1,A,PkE93-3,7.72E-06,4.22E-03